"tau","model_type","AUC_occ","RMSE","MAE","MedAE","Spearman","Calib_Ratio","ex_pos_n","ex_pos_fallback"
5,"EP_NB_ADD_OLS",0.914916773367478,15.3554890981817,4.35419909385514,1.07576028535939,0.682643973883263,0.36683766185232,118,FALSE
10,"EP_NB_ADD_OLS",0.914916773367478,15.399436780026,4.65854067248507,1.22821684779106,0.659588154957632,0.470850170536299,69,FALSE
15,"EP_NB_ADD_OLS",0.914916773367478,15.3040851867449,4.53748340595581,1.28747534696042,0.68056411767655,0.442200819906823,58,FALSE
20,"EP_NB_ADD_OLS",0.914916773367478,15.2934461709278,4.56319698452476,1.35548718761965,0.686657614678331,0.456476038137292,52,FALSE
25,"EP_NB_ADD_OLS",0.914916773367478,15.2107801884161,4.71318123478764,1.63656062021968,0.691940472940157,0.525604539428907,43,FALSE
30,"EP_NB_ADD_OLS",0.914916773367478,15.2168780744641,4.71780020080826,1.62865401191845,0.696324187942595,0.526563481793705,39,FALSE
35,"EP_NB_ADD_OLS",0.914916773367478,15.2293292661886,4.74095881042495,1.62978490331112,0.692243972951493,0.532880795940994,37,FALSE
40,"EP_NB_ADD_OLS",0.914916773367478,15.2615079085911,4.78885917929514,1.62819740389391,0.686155566917644,0.544756570660208,34,FALSE
45,"EP_NB_ADD_OLS",0.914916773367478,15.2086454044847,4.82170813368885,1.76812811872366,0.694324220771124,0.566001225402806,32,FALSE
50,"EP_NB_ADD_OLS",0.914916773367478,15.2085705459464,4.84397281818976,1.80563604149964,0.692409625215744,0.574397497295295,32,FALSE
