model_type,AUC_occ,RMSE,MAE,MedianAE,RMSLE,Spearman,BR_rate_down,BR_rate_up,BR_sev_down,BR_sev_up,version,calib_factor
M1: Mixed-ST (OLS) [RAW],0.8109475032010244,15.58111972189831,3.9771148187760157,0.32203960977522095,0.9300134653010211,0.5515065141466822,0,0.4365079365079365,0.918797718718338,0.5133724193966767,RAW,NA
M2: Pure-ST (OLS) [RAW],0.832202304737516,15.586287272317477,3.9955504305503116,0.3292167850023701,0.9325281560349037,0.5718277000669514,0,0.4365079365079365,0.9203093685530651,0.5270591718192698,RAW,NA
M3: Pure-STAR (SAR) [RAW],0.8321062740076824,15.600283725182434,3.972144859548274,0.32068682619367395,0.9339361456576158,0.575766151181791,0,0.4365079365079365,0.9241683502023683,0.5103558028155102,RAW,NA
M4: Mixed-STAR (SAR+X) [RAW],0.8147247119078105,15.591425120010609,3.963350819762722,0.314902984665232,0.9311934016358124,0.5598846809112124,0,0.4365079365079365,0.9223354060038922,0.503155781152689,RAW,NA
M5: Res-STAR (SDM/Durbin) [RAW],0.8193341869398207,15.603487164068659,3.9515161104638006,0.33534157302697437,0.9338836171287779,0.562080062928692,0,0.43253968253968256,0.9264145678064125,0.4931032360338724,RAW,NA
M1: Mixed-ST (OLS) [CAL],0.8109475032010244,15.387626423279892,4.321611344587174,0.7702743539365411,0.9579322286490684,0.5515065141466822,0,0.4365079365079365,0.8732520946750041,0.632577418851782,CAL,2.06729967536891
M2: Pure-ST (OLS) [CAL],0.832202304737516,15.387596576510473,4.380393308712894,0.8228329115109331,0.9659183118648629,0.5718277000669514,0,0.4365079365079365,0.8751497196562938,0.6493124251993703,CAL,2.1128500821994347
M3: Pure-STAR (SAR) [CAL],0.8321062740076824,15.398289346494186,4.33116468665353,0.7574615918512877,0.956800158343203,0.575766151181791,0,0.4365079365079365,0.877191431763164,0.6382653609835615,CAL,2.19214197311797
M4: Mixed-STAR (SAR+X) [CAL],0.8147247119078105,15.392770917120588,4.290832054486683,0.687761754895775,0.9518874961956342,0.5598846809112124,0,0.4365079365079365,0.8750676469467172,0.625457840520844,CAL,2.1338867870458427
M5: Res-STAR (SDM/Durbin) [CAL],0.8193341869398207,15.412066716037176,4.2345388475798345,0.6445408629061329,0.9432808442054517,0.562080062928692,0,0.43253968253968256,0.8803129830221742,0.6124778473814413,CAL,2.127542198389508
